1439177893,"WWG1WGA!  Follower of Christ unwilling to live with totalitarianism.  My children's liberty isn't negotiable.",1
28584787,"writer. introvert. bookworm. feminist. scholar. francophile. oenophile. professor. activist. geek. she/her/hers",-1
192653700,"|Safe Space|BLM|Anti-Fascism|LGBTQ|

Hugs and Snugs Welcomed

I am an Asshole, but I am not 100% a Dick!",-1
176598289,"#blm • hey kids spelling is fun • RI • stream the last great american dynasty 4 clear skin ❤️ • sassmaster supreme • # 1 fan of woodbridge pinot grigio",-1
60717321,"Software engineer, aviation nerd, geek, gamer, husband, dad (x2), progressive humanist. Cis. He/his/him.",-1
25639611,"she/her, Badass Spanish teacher, Presenter, Cunning linguist, Traveler. Sr. Wooly Contributor, 🎻Fiddler on Vermouth. FMFC Flock, 🦩⚽️. Curler🥌. Ally🌈. BLM✊.",-1
2167092876,"#Socialist  ☭ cyber bitch  ☭ #DankMemes ☭  #Revolutionary!  ☭ #RadicalProgressive  
☮#NoWarButClassWar!☮",-1
69392175,"Selling commercial real estate in the Greater Houston area. Conservative Libertarian in philosophy. Love music, cooking, history and historic architecture.",1
16814727,"Check out my book! http://amzn.to/1ZYxyvp  I am a very Conservative (NOT Republican) Attorney. A follow/RT does not imply endorsement. #TCOT #JobsNotMobs",1
3116250695,"Libertarian.Govt doesn't own Us,Oppose Vaccine Mandates. Love this Earth, All Creatures & My Country. Politically Active,#CDCwhistleblower #GMOisPoison",1
293081735,"Follower Of Christ ~ Direct Decendent of John Paul Jones, Founder of the American Navy ~ NY Conservative Constitutionalist ~ U.S. Air Force Veteran ~ Poet",1
350739998,"Music is MY LIFE. I love Poetry 📓 & Hip Hop 🎤 | Indian & Guyanese 🇮🇳🇬🇾, Down to earth..Hit Me Up 😃

#BlackLivesMatter",-1
1312307419,"Christian Conservative #JesusIsLord RATIONAL Lover of ALL People but not their SIN, Promoter of Goodness, Health & Safety",1
12903462,"#Awesome #LGBTQ #political #disability #activist #Progressive #GOP #NightOwl #journalist #blogger #Hartford #CT #Westchester #NYC #OWS #tech #geek #SocMed #LOVE",-1
1699215170,"KQ publishes four times a year and is the progressive publication of record for the  Korean American and adopted Korean community. Visit: http://t.co/sUQzecfi6R",-1
352665889,"Automatic block if you add me to a group. Retired, Political junkie, Packer Fan, Democrat.",-1
17761963,"Head of people @buffer; sharing on workplace culture, diversity & inclusion in tech & remote work. #BlackLivesMatter. She/her. Contact: courtney@buffer.com",-1
20250988,"#papercrafting #rubberstamper #veryinkyfingers #Jesus  Mom Grandma, Great Grandma, Re-planted in Florida Conservative, Born Again.",1
3355401615,"Talents include: Writing, movie-watching, and falling in love with fictional stories. Christian. Conservative. In real life I'm probably too nice. #moviereview",1
37907738,"Love my country and I will always defend the constitution and our freedom as an  American! I have no patience nor the time for LIBERAL STUPIDITY",-1
2401965602,"It's done. ""How I Learned The Facts of Life: Real news vs. fake news in a time of plague, injustice, gobsmacking trumpery...and whatever comes next.""",1
1931499180,"Beware the barrenness of a busy life. #MAGA Pro-Israel The Bible is the living word of God. Very happily married to a man who treats me like a queen!",1
270708840,"Conservative,Family,animal lover, PROUDLY F/B 
@TonyShaffer, @ScottBaio,  @JuanitaBroaddrick, @Nickshort, @GenFlynn, @JessieJaneDuff, @RyanFournier, @HarlanHill",1
182476858,"I'm a progressive. The Dems & Reps are the same, they're the $ party. We need  remove $ out of politics. Congress is completely corrupt. Politicians are bought.",-1
16007529,"Political Junkie, Sister Suffragette, Progressive Feminist, Anglophile,Gen X, Ginger Gemini, and lover of the Woo. #Warren2020 #Persist #YesShePlans ✊🌊🗳💙🗽",-1
